institution_name,pays,type_financement
Directorate for Mathematical and Physical Sciences,United States,0
Directorate for STEM Education,United States,0
"Directorate for Social, Behavioral and Economic Sciences",United States,0
"Directorate for Technology, Innovation and Partnerships",United States,0
"Directorate of Environment and Climate Change, India",India,0
Directorate of Science and Technology,United States,0
"Directorate-General XII, Science, Research, and Development",European Union,0
Directorate-General for Communication,European Union,0
"Directorate-General for Communications Networks, Content and Technology",European Union,0
Directorate-General for Development and Cooperation - EuropeAid,European Union,0
Directorate-General for Economic and Financial Affairs,European Union,0
Directorate-General for Health and Consumers,European Union,0
Directorate-General for Health and Food Safety,European Union,0
Directorate-General for Information Society and Media,European Union,0
Directorate-General for International Cooperation and Development,European Union,0
Directorate-General for International Partnerships,European Union,0
Directorate-General for Justice and Consumers,European Union,0
Directorate-General for Migration and Home Affairs,European Union,0
Directorate-General for Research and Innovation,European Union,0
Directorate-General for the Environment,European Union,0
Direktion für Entwicklung und Zusammenarbeit,Switzerland,0
Direktoratet for Utviklingssamarbeid,Norway,0
Direktoratet for internasjonalisering og kvalitetsutvikling i høgare utdanning,Norway,0
Direktör Albert Påhlssons Stiftelse,Sweden,1
Direktør Ib Henriksens Fond,Denmark,1
Discovery Eye Foundation,United States,1
Discovery To Cure,United States,1
Disney Conservation Fund,United States,1
Disney Worldwide Conservation Fund,United States,1
Distinguished International Students Scholarship,China,0
District of Columbia Department of Health,United States,0
District of Columbia Developmental Center for AIDS Research,United States,0
District of Columbia Space Grant Consortium,United States,0
District of Columbia Water and Sewer Authority,United States,0
"Division for Interdisciplinary Advanced Research and Education, Tohoku University",Japan,0
Division of Acquisition and Cooperative Support,United States,0
Division of Advanced Cyberinfrastructure,nan,0
"Division of Agriculture and Natural Resources, University of California",United States,0
Division of Antarctic Sciences,United States,0
Division of Arctic Sciences,United States,0
Division of Astronomical Sciences,United States,0
Division of Atmospheric and Geospace Sciences,United States,0
Division of Behavioral and Cognitive Sciences,United States,0
Division of Biological Infrastructure,United States,0
"Division of Cancer Epidemiology and Genetics, National Cancer Institute",United States,0
"Division of Cancer Prevention, National Cancer Institute",United States,0
"Division of Chemical, Bioengineering, Environmental, and Transport Systems",United States,0
Division of Chemistry,United States,0
"Division of Civil, Mechanical and Manufacturing Innovation",United States,0
Division of Computer and Network Systems,United States,0
Division of Computing and Communication Foundations,United States,0
"Division of Diabetes, Endocrinology, and Metabolic Diseases",United States,0
Division of Earth Sciences,United States,0
"Division of Electrical, Communications and Cyber Systems",United States,0
"Division of Elementary, Secondary, and Informal Education",United States,0
Division of Emerging Frontiers,United States,0
Division of Emerging Frontiers in Research and Innovation,United States,0
Division of Engineering Education and Centers,United States,0
Division of Environmental Biology,United States,0
Division of Graduate Education,United States,0
Division of Grants and Agreements,United States,0
Division of Human Resource Development,United States,0
Division of Human Resource Management,United States,0
Division of Industrial Innovation and Partnerships,United States,0
Division of Information and Intelligent Systems,United States,0
Division of Integrative Organismal Systems,United States,0
Division of Loan Repayment,United States,0
Division of Materials Research,United States,0
Division of Materials Sciences and Engineering,United States,0
Division of Mathematical Sciences,United States,0
Division of Molecular and Cellular Biosciences,United States,0
Division of Ocean Sciences,United States,0
Division of Physics,United States,0
Division of Polar Programs,United States,0
Division of Research Capacity Development,United States,0
Division of Research on Learning in Formal and Informal Settings,United States,0
Division of Social and Economic Sciences,United States,0
Division of Undergraduate Education,United States,0
DoD Alzheimer's Disease Neuroimaging Initiative,United States,0
Doctorate Fellowship Foundation of Nanjing Forestry University,China,1
Doctors Cancer Foundation,United States,1
Doctors Company Foundation,United States,1
Doctors Without Borders,International,2
Dodd-Walls Centre,New Zealand,0
Doherty Foundation,Australia,1
Doktor Robert Pfleger-Stiftung,Germany,1
Domaine d'Intérêt Majeur Logiciels et Systèmes Complexes,France,0
Domestic Nuclear Detection Office,United States,0
Donald D. Hammill Foundation,United States,1
Donald E. and Delia B. Baxter Foundation,United States,1
Donald W. Reynolds Foundation,United States,1
Dong-A University,South Korea,0
Donghua University,China,0
Doosan Heavy Industries and Construction,South Korea,1
Doris Duke Charitable Foundation,United States,1
Dorothy Russell Havemeyer Foundation,United States,1
Douglas Foundation,Canada,1
Douglas Pharmaceuticals,New Zealand,1
Dow AgroSciences,United States,1
Dow Chemical Company,United States,1
"Dow Materials Institute, Dow Chemical Company",United States,1
Dowager Countess Eleanor Peel Trust,United Kingdom,1
Down Syndrome Research and Treatment Foundation,United States,1
Dr Mortimer and Theresa Sackler Foundation,United Kingdom,1
Dr. Falk Pharma,Germany,1
Dr. Herbert and Nicole Wertheim Family Foundation,United States,1
Dr. Mildred Scheel Stiftung für Krebsforschung,Germany,1
Dr. Miriam and Sheldon G. Adelson Medical Research Foundation,United States,1
Dr. Ralph and Marian Falk Medical Research Trust,United States,1
"Division of Intramural Research, National Institute of Allergy and Infectious Diseases",United States,0
"Division of Microbiology and Infectious Diseases, National Institute of Allergy and Infectious Diseases",United States,0
Dr. Rolf M. Schwiete Stiftung,Germany,1
Dr. Scholl Foundation,United States,1
Dr. Senckenbergische Stiftung,Germany,1
Dr. Werner Jackstädt-Stiftung,Germany,1
Drake Foundation,United Kingdom,1
Dravet Syndrome Foundation,United States,1
Dravet Syndrome UK,United Kingdom,1
Drexel University,United States,1
"Drug Applied Research Center, Tabriz University of Medical Sciences",Iran,0
"Drug Research Academy, Københavns Universitet",Denmark,0
Drugs for Neglected Diseases initiative,Switzerland,2
DuPont,United States,1
DuPont Pioneer,United States,1
Dublin City University,Ireland,0
Dublin Institute for Advanced Studies,Ireland,0
Duchenne Parent Project,United States,1
Duchenne Research Fund,United Kingdom,1
Duke Clinical Research Institute,United States,0
Duke Endowment,United States,1
Duke Energy,United States,1
"Duke Global Health Institute, Duke University",United States,0
Duke University,United States,1
Duke-NUS Medical School,Singapore,2
Dunhill Medical Trust,United Kingdom,1
Dunlevie Family Fund for Adult Congenital Heart Disease,United States,1
Duquesne University,United States,1
Durham University,United Kingdom,0
Dutch Arthritis Association,Netherlands,1
Dutch Cardiovascular Alliance,Netherlands,2
Dynasty Foundation,Russia,1
Dysimmune Diseases Foundation,United States,1
Dystonia Coalition,United States,2
Dystonia Medical Research Foundation,United States,1
Dystonia Medical Research Foundation Canada,Canada,1
Dystrophic Epidermolysis Bullosa Research Association,United Kingdom,1
Dystrophic Epidermolysis Bullosa Research Association of America,United States,1
Délégation Générale pour l'Armement,France,0
"Département Caractérisation et Élaboration des Produits Issus de l'Agriculture, Institut National de la Recherche Agronomique",France,0
"Département Soutien et Formation, Institut de Recherche pour le Développement",France,0
Düzce Üniversitesi,Turkey,0
E-Rare,European Union,2
E. Matilda Ziegler Foundation for the Blind,United States,1
E.O. Wilson Biodiversity Foundation,United States,1
E.ON UK,United Kingdom,1
"EA Pharma Co., Ltd.",Japan,1
EADS Foundation Wales,United Kingdom,1
EAU Research Foundation,Netherlands,1
EDF Energy Research and Development,France,0
EEA Grants,European Union,0
EEA Grants/Norway Grants,European Union,0
EGIDE,France,0
EIT Climate-KIC,European Union,2
EIT Digital,European Union,2
EIT Health,European Union,2
EIT RawMaterials,European Union,2
EMBO,Germany,0
EMC,United States,1
EMD Serono,United States,1
EMDO Stiftung,Switzerland,1
EMI,United Kingdom,1
ENEOS Hydrogen Trust Fund,Japan,1
EORTC Charitable Trust,Belgium,1
EOSC-Life,European Union,2
EP-Nuffic,Netherlands,0
EPSRC Centre for Doctoral Training in Additive Manufacturing,United Kingdom,0
EPSRC Centre for Doctoral Training in Technology Enhanced Chemical Synthesis,United Kingdom,0
ERAB: The European Foundation for Alcohol Research,United Kingdom,1
ETH Zürich Foundation,Switzerland,0
EU Aid Volunteers,European Union,0
EU Civil Protection Mechanism,European Union,0
EU Joint Programme – Neurodegenerative Disease Research,European Union,2
EUROSPINE,Switzerland,1
EUROfusion,European Union,2
EUSA Pharma,United States,1
Eagles Autism Foundation,United States,1
Earmarked Fund for China Agriculture Research System,China,0
"Earth Engineering Center, Columbia University",United States,0
"Earth Institute, Columbia University",United States,0
Earth Observatory of Singapore,Singapore,0
Earth Sciences Division,United States,0
Earth System Research Laboratories,United States,0
"Earth System Sciences Organization, Ministry of Earth Sciences",India,0
Earth and Space Foundation,United Kingdom,1
Earthquake Commission,New Zealand,0
"Earthquake Research Institute, University of Tokyo",Japan,0
Earthwatch Institute,United States,1
East Carolina University,United States,0
East China Normal University,China,0
East China University of Science and Technology,China,0
East Tennessee State University,United States,0
Eastern Health Foundation,Australia,1
Eastern Kentucky University,United States,0
Eastern Virginia Medical School,United States,0
Eastern Washington University,United States,0
Eastman Chemical Company,United States,1
Eastman Kodak,United States,1
Eaton Corporation,United States,1
Eberhard Karls Universität Tübingen,Germany,0
Ecolab,United States,1
Ecole Nationale d'Ingénieurs de Tunis,Tunisia,0
"Ecoles doctorales, Université Paris-Saclay",France,0
Ecological Society of America,United States,0
Ecological Society of Australia,Australia,0
Ecological Society of Australia Incorporated,Australia,0
Economic Development Administration,United States,0
Economic Development Board - Singapore,Singapore,0
Economic History Society,United Kingdom,0
Economic Research Forum,Egypt,0
Economic Research Service,United States,0
Economic and Social Research Council,United Kingdom,0
Ecopetrol,Colombia,1
Ecumenical Project for International Cooperation,United States,0
Eden Hall Foundation,United States,1
Edgewood Chemical Biological Center,United States,0
Edimer Pharmaceuticals,United States,1
Edinburgh Napier University,United Kingdom,0
Edinburgh and Lothians Health Foundation,United Kingdom,2
Edith Cowan University,Australia,0
"Edmond J. Safra Center for Ethics, Harvard University",United States,1
Edmond J. Safra Philanthropic Foundation,Monaco,1
Edmond de Rothschild Foundation,Switzerland,1
Edna Bailey Sussman Foundation,United States,1
Education Department of Henan Province,China,0
Education Department of Hunan Province,China,0
Education Department of Jiangxi Province,China,0
Education Department of Shaanxi Province,China,0
Education Department of Sichuan Province,China,0
Education University of Hong Kong,Hong Kong,0
"Education, Audiovisual and Culture Executive Agency",European Union,0
Edvard Welanders Stiftelse,Sweden,1
"Edward Mallinckrodt, Jr. Foundation",United States,1
Edward N. and Della L. Thome Memorial Foundation,United States,1
Edward P. Evans Foundation,United States,1
Edwards Lifesciences,United States,1
Een Häerz fir kriibskrank Kanner,Luxembourg,1
Eesti Teadusagentuur,Estonia,0
Eesti Teadusfondi,Estonia,0
Effat University,Saudi Arabia,1
Efficacy and Mechanism Evaluation Programme,United Kingdom,0
Ege Üniversitesi,Turkey,0
Egerton University,Kenya,0
Egmont Fonden,Denmark,1
Egyptian Cultural and Educational Bureau,Egypt,0
Egészségügyi Tudományos Tanács,Hungary,0
Ehlers-Danlos Society,United States,1
Eidgenössische Anstalt für Wasserversorgung Abwasserreinigung und Gewässerschutz,Switzerland,0
Eidgenössische Technische Hochschule Zürich,Switzerland,0
Eidgenössisches Nuklearsicherheitsinspektorat,Switzerland,0
Einaudi Institute for Economics and Finance,Italy,0
Einstein Stiftung Berlin,Germany,0
Eisai,Japan,1
Eisai Canada,Canada,1
Eisai Incorporated,United States,1
Eisai Korea,South Korea,1
"Ekonomiaren Garapen eta Lehiakortasun Saila, Eusko Jaurlaritza",Spain,0
EkstraStiftelsen Helse og Rehabilitering (Stiftelsen Dam),Norway,1
Elan,Ireland,1
Elan Pharma International,Ireland,1
Elanco Animal Health,United States,1
Electric Power Research Institute,United States,0
Electricity Generating Authority of Thailand,Thailand,0
Electricité de France,France,0
Electrochemical Society,United States,1
Electronic Components and Systems for European Leadership,European Union,2
Electronics and Telecommunications Research Institute,South Korea,0
Elekta,Sweden,1
Elektrobit,Finland,1
Elettra-Sincrotrone Trieste,Italy,0
Eli Lilly Canada,Canada,1
Eli Lilly Japan,Japan,1
Eli Lilly and Company,United States,1
"Eli and Edythe Broad Center of Regenerative Medicine and Stem Cell Research, University of California Los Angeles",United States,0
Eli and Edythe Broad Foundation,United States,1
Elitenetzwerk Bayern,Germany,0
"Elizabeth Blackwell Institute for Health Research, University of Bristol",United Kingdom,0
Elizabeth Dole Foundation,United States,1
Elizabeth Glaser Pediatric AIDS Foundation,United States,1
Ella ja Georg Ehrnroothin Säätiö,Finland,1
Ellison Medical Foundation,United States,1
Elon University,United States,1
Elsa U. Pardee Foundation,United States,1
Elsass Fonden,Denmark,1
Else Kröner-Fresenius-Stiftung,Germany,1
Elsevier Foundation,Netherlands,1
Elsie and Marvin Dekelboum Family Foundation,United States,1
Emberi Eroforrások Minisztériuma,Hungary,0
Embrapa Florestas,Brazil,0
Embry-Riddle Aeronautical University,United States,1
Emerald Foundation,United States,1
Emergence de Jeune Equipe INRA,France,0
Emergency Medicine Foundation,Australia,1
Emergent Behaviors of Integrated Cellular Systems,United States,2
"Emerging Pathogens Institute, University of Florida",United States,0
Emil Aaltosen Säätiö,Finland,1
Emil och Wera Cornells Stiftelse,Sweden,1
Emissions Reduction Alberta,Canada,0
Emory Eye Center,United States,0
Emory University,United States,0
"Empire State Development's Division of Science, Technology and Innovation",United States,0
Empresa Brasileira de Pesquisa Agropecuária,Brazil,0
Enamine,Ukraine,1
Endocrine Society,United States,1
Endocrine Society of Australia,Australia,1
Endocyte,United States,1
Energi Simulation,Canada,1
"Energi-, Forsynings- og Klimaministeriet",Denmark,0
Energiateollisuus ry,Finland,2
Energimyndigheten,Sweden,0
Energinet.dk,Denmark,0
Energistyrelsen,Denmark,0
Energiteknologisk udviklings- og demonstrationsprogram,Denmark,2
Energy Biosciences Institute,United States,2
Energy Consumers Australia,Australia,1
Energy Foundation,United States,1
Energy Frontier Research Centers,United States,0
"Energy Institute, Texas A and M University",United States,0
Energy Market Authority of Singapore,Singapore,0
Energy Policy and Planning Office,Thailand,0
"Energy Research Institute, Nanyang Technological University",Singapore,2
Engineer Research and Development Center,United States,0
Engineering Laboratory,United States,0
Engineering Research Centers,United States,0
Engineering and Physical Sciences Research Council,United Kingdom,0
English-Speaking Union,United Kingdom,1
Enhancing Learning and Research for Humanitarian Assistance,United States,2
Eni,Italy,1
Enoch Foundation,United Kingdom,1
Ente Cassa di Risparmio di Firenze,Italy,1
Enterprise Ireland,Ireland,0
Entertainment Industry Foundation,United States,1
Entomological Society of America,United States,1
Entomological Society of Canada,Canada,1
"Entomology and Nematology Department, Institute of Food and Agricultural Sciences",United States,0
Environment Agency,United Kingdom,0
Environment Canada,Canada,0
Environment and Climate Change Canada,Canada,0
Environment and Conservation Fund,Hong Kong,2
Environment and Health Fund,Israel,2
Environment for Development,Sweden,2
Environmental Defense Fund,United States,1
"Environmental Futures Research Institute, Griffith University",Australia,2
Environmental Molecular Sciences Laboratory,United States,0
"Environmental Protection Administration, Executive Yuan, R.O.C. Taiwan",Taiwan,0
Environmental Protection Agency,United States,0
Environmental Research and Education Foundation,United States,1
"Environmental Resilience Institute, Indiana University",United States,0
Environmental Security Technology Certification Program,United States,0
Environmental Systems Research Institute,United States,1
Epidermolysis Bullosa Medical Research Foundation,United States,1
Epilepsiatutkimussäätiö,Finland,1
Epilepsiefonds,Netherlands,1
Epilepsy Foundation,United States,1
Epilepsy Foundation of Victoria,Australia,1
Epilepsy Research UK,United Kingdom,1
Epilepsy Society,United Kingdom,1
Epilepsy Society of Australia,Australia,1
Eppley Foundation for Research,United States,1
Equinor,Norway,1
Equipex,France,0
Erasmus MC Vriendenfonds,Netherlands,1
Erasmus Medisch Centrum,Netherlands,2
Erasmus Research Institute of Management,Netherlands,2
Erasmus Universitair Medisch Centrum Rotterdam,Netherlands,2
Erasmus Universiteit Rotterdam,Netherlands,0
Erasmus+,European Union,2
Erciyes Üniversitesi,Turkey,0
Erell Institute,United States,1
Erlangen Graduate School of Advanced Optical Technologies,Germany,0
Ernest Oppenheimer Memorial Trust,South Africa,1
Ernst Schering Foundation,Germany,1
Ernst and Ethel Eriksen Trust,South Africa,1
Ernst und Berta Grimmke Stiftung,Germany,1
Erwin Schrödinger International Institute for Mathematics and Physics,Austria,0
Erzincan Üniversitesi,Turkey,0
Escuela Politécnica Nacional,Ecuador,0
Esfarayen University of Technology,Iran,0
"Eshelman Institute for Innovation, University of North Carolina at Chapel Hill",United States,2
Eskişehir Osmangazi Üniversitesi,Turkey,0
Esmée Fairbairn Foundation,United Kingdom,1
Esperantic Studies Foundation,United States,1
Esther A. and Joseph Klingenstein Fund,United States,1
Estonian Research Competency Council,Estonia,0
Etablissement Français du Sang,France,0
Etelä-Karjalan Rahasto,Finland,1
Ethicon,United States,1
Ethicon Endo-Surgery,United States,1
Eunice Kennedy Shriver National Institute of Child Health and Human Development,United States,0
Euratom Research and Training Programme,European Union,0
EuroBasque,Spain,2
EuroNanoMed III,European Union,2
European AIDS Treatment Network,European Union,2
European Academy of Allergy and Clinical Immunology,European Union,2
European Academy of Dermatology and Venereology,European Union,2
European Academy of Neurology,European Union,2
European Agricultural Fund for Rural Development,European Union,0
European Agricultural Guarantee Fund,European Union,0
European Association for Cancer Research,European Union,2
European Association for Endoscopic Surgery and other Interventional Techniques,European Union,2
European Association for Haemophilia and Allied Disorders,European Union,2
European Association for Palliative Care,European Union,2
European Association for the Study of Diabetes,European Union,2
European Association for the Study of the Liver,European Union,2
European Association of Cardiovascular Imaging,European Union,2
European Association of Environmental and Resource Economists,European Union,2
European Association of National Metrology Institutes,European Union,0
European Association of Nuclear Medicine,European Union,2
European Association of Organic Geochemist,European Union,2
European Association of Social Psychology,European Union,2
European Association of Urology,European Union,2
European Atherosclerosis Society,European Union,2
European Bank for Reconstruction and Development,United Kingdom,0
European Bioinformatics Institute,United Kingdom,0
European Calcified Tissue Society,European Union,2
European Central Bank,Germany,0
European Centre for Disease Prevention and Control,European Union,0
European Centre for Medium-Range Weather Forecasts,European Union,0
European Chemical Industry Council,Belgium,1
European College of Neuropsychopharmacology,European Union,2
European Commission,European Union,0
European Committee for Treatment and Research in Multiple Sclerosis,European Union,2
European Consortium for Political Research,European Union,2
European Cooperation in Science and Technology,European Union,2
European Crohn's and Colitis Organisation,European Union,2
European Defence Fund,European Union,0
European Education and Culture Executive Agency,European Union,0
European Environment Agency,European Union,0
European External Action Service,European Union,0
European Federation of Conservative Dentistry,European Union,2
European Federation of Pharmaceutical Industries and Associations,Belgium,1
European Federation of Psychologists Associations,European Union,2
European Food Safety Authority,European Union,0
European Foundation for the Study of Diabetes,Germany,1
European Genomic Institute for Diabetes,France,2
European Geosciences Union,Germany,2
European Geriatric Medicine Society,European Union,2
European Hematology Association,Netherlands,2
European Huntington's Disease Network,European Union,2
European Institute of Innovation and Technology,European Union,0
European Investment Bank,Luxembourg,0
European League Against Rheumatism,European Union,2
European Marine Biological Resource Centre Belgium,Belgium,2
European Maritime and Fisheries Fund,European Union,0
European Metrology Programme for Innovation and Research,European Union,0
European Molecular Biology Laboratory,Germany,0
European Molecular Biology Organization,Germany,0
European Network for Rare Adult Solid Cancers,European Union,2
European Neuroendocrine Association,European Union,2
European Neuromuscular Centre,Netherlands,2
European Office of Aerospace Research and Development,United States,0
European Organisation for Rare Diseases,France,0
European Organisation for Research and Treatment of Cancer,Belgium,0
European Organization for the Exploitation of Meteorological Satellites,Germany,0
European Orthodontic Society,European Union,0
European Parliament,European Union,0
European Partnership on Metrology,European Union,0
European Physical Society,France,0
European Psychiatric Association,European Union,0
European Rare Kidney Disease Reference Network,European Union,0
European Regional Centre for Ecohydrology,Poland,0
European Regional Development Fund,European Union,0
European Renal Association-European Dialysis and Transplant Association,European Union,0
European Research Area Network on Cardiovascular Diseases,European Union,0
European Research Consortium for Informatics and Mathematics,France,0
European Research Council,European Union,0
European Respiratory Society,Switzerland,0
European Resuscitation Council,Belgium,0
European School of Oncology,Italy,0
European Science Foundation,France,0
European Social Fund,European Union,0
European SocieTy for Radiotherapy and Oncology,Belgium,0
European Society for Clinical Nutrition and Metabolism,Germany,0
European Society for Evolutionary Biology,European Union,0
European Society for Immunodeficiencies,European Union,0
European Society for Medical Oncology,Switzerland,0
European Society for Paediatric Endocrinology,European Union,0
European Society for Paediatric Infectious Diseases,European Union,0
European Society for Paediatric Research,European Union,0
European Society for Sexual Medicine,European Union,0
European Society of Anaesthesiology,European Union,0
European Society of Cardiology,France,0
European Society of Cataract and Refractive Surgeons,Belgium,0
European Society of Clinical Microbiology and Infectious Diseases,European Union,0
European Society of Coloproctology,European Union,0
European Society of Contraception and Reproductive Health,European Union,0
European Society of Endocrinology,United Kingdom,0
European Society of Intensive Care Medicine,European Union,0
European Society of Musculoskeletal Radiology,European Union,0
European Society of Human Reproduction and Embryology,United Kingdom,0
European Southern Observatory,Germany,0
European Space Agency,France,0
European Stroke Organisation,Switzerland,0
European Synchrotron Radiation Facility,France,0
European Union Agency for Network and Information Security,European Union,0
European University Institute,Italy,1
European and Developing Countries Clinical Trials Partnership,Netherlands,2
Eurostars,European Union,2
Euskal Herriko Unibertsitatea,Spain,0
Eusko Jaurlaritza,Spain,0
Eutopia Foundation,Netherlands,1
Eva Crane Trust,United Kingdom,1
Eva Luise und Horst Köhler Stiftung,Germany,1
Evald ja Hilda Nissin Säätiö,Finland,1
Evangelisches Studienwerk Villigst,Germany,0
Evans Medical Foundation,United Kingdom,1
Evelyn F. McKnight Brain Research Foundation,United States,1
Everglades Foundation,United States,1
Evolving Earth Foundation,United States,1
Evonik Industries,Germany,1
Ewha Womans University,South Korea,0
Ewing Marion Kauffman Foundation,United States,1
Executive Agency for Health and Consumers,European Union,0
Executive Agency for Small and Medium-sized Enterprises,European Union,0
Exelis,United States,1
Exelixis,United States,1
Exelon Corporation,United States,1
"Exploratory Research Center on Life and Living Systems, National Institutes of Natural Sciences",Japan,0
Exploratory Research for Advanced Technology,Japan,0
Explorers Club,United States,1
Extracorporeal Life Support Organization,United States,0
"ExtreMe Matter Institute, GSI Helmholtzzentrum für Schwerionenforschung",Germany,0
Exxon Mobil Corporation,United States,1
Exxon Valdez Oil Spill Trustee Council,United States,0
ExxonMobil Foundation,United States,1
ExxonMobil Research and Engineering Company,United States,1
Exzellenzcluster Ozean der Zukunft,Germany,2
Exzellenzclusters Entzündungsforschung,Germany,2
Eye and Ear Foundation of Pittsburgh,United States,1
EyeSight Foundation of Alabama,United States,1
Eötvös Loránd Tudományegyetem,Hungary,0
F-star Therapeutics,United Kingdom,1
F. Hoffmann-La Roche,Switzerland,1
F. M. Kirby Foundation,United States,1
FACE Foundation,Netherlands,1
"FAS Center for Systems Biology, Harvard University",United States,1
"FAS Division of Science, Harvard University",United States,1
FAZIT Stiftung,Germany,1
FHI 360,United States,1
FMC Corporation,United States,1
"FOD Volksgezondheid, Veiligheid van de Voedselketen en Leefmilieu",Belgium,0
FONDATION ALZHEIMER,France,0
FP7 Capacities,European Union,0
FP7 Coherent Development of Research Policies,European Union,0
FP7 Cooperation,European Union,0
FP7 Coordination of Non-Community Research Programmes,European Union,0
FP7 Coordination of Research Activities,European Union,0
FP7 Energy,European Union,0
FP7 Environment,European Union,0
FP7 Euratom,European Union,0
"FP7 Food, Agriculture and Fisheries, Biotechnology",European Union,0
FP7 Fusion Energy Research,European Union,0
FP7 Health,European Union,0
FP7 Ideas: European Research Council,European Union,0
FP7 Information and Communication Technologies,European Union,0
FP7 International Cooperation,European Union,0
FP7 Joint Technology Initiatives,European Union,0
"FP7 Nanosciences, Nanotechnologies, Materials and new Production Technologies",European Union,0
"FP7 Nuclear Fission, Safety and Radiation Protection",European Union,0
FP7 People: Marie-Curie Actions,European Union,0
FP7 Research Potential of Convergence Regions,European Union,0
FP7 Research infrastructures,European Union,0
FP7 Science in Society,European Union,0
FP7 Space,European Union,0
FPInnovations,Canada,2
FRAXA Research Foundation,United States,1
FSH Society,United States,1
FSHD Global Research Foundation,Australia,1
FUJIFILM Toyama Chemical,Japan,1
FUNDACIÓ Privada MIR-PUIG,Spain,1
FURTHERMORE grants in publishing,United States,1
Facebook,United States,1
Fachagentur Nachwachsende Rohstoffe,Germany,0
"Faculdade de Ciências e Tecnologia, Universidade Nova de Lisboa",Portugal,0
Faculdade de Medicina da Universidade de São Paulo,Brazil,0
Facultad de Ciencias Físicas y Matemáticas,Chile,0
"Facultad de Ciencias, Universidad de los Andes",Colombia,0
"Faculty Professional Development Council, Pennsylvania State System of Higher Education",United States,0
Faculty of Arts and Sciences,United States,0
"Faculty of Engineering, University of Nottingham",United Kingdom,0
"Faculty of Health and Medicine, University of Newcastle Australia",Australia,0
"Faculty of Medical Sciences, Newcastle University",United Kingdom,0
"Faculty of Medical and Health Sciences, University of Auckland",New Zealand,0
"Faculty of Medicine Siriraj Hospital, Mahidol University",Thailand,0
"Faculty of Medicine and Dentistry, University of Alberta",Canada,0
"Faculty of Medicine, American University of Beirut",Lebanon,1
"Faculty of Medicine, Assiut University",Egypt,0
"Faculty of Medicine, McGill University",Canada,0
"Faculty of Science and Engineering, University of Manchester",United Kingdom,0
"Faculty of Science, Chinese University of Hong Kong",Hong Kong,0
"Faculty of Science, Mahidol University",Thailand,0
"Faculty of Science, National University of Singapore",Singapore,0
"Faculty of Science, Prince of Songkla University",Thailand,0
"Faculty of Science, Victoria University of Wellington",New Zealand,0
"Faculty of Veterinary Medicine, University of Calgary",Canada,0
"Faculté de Médecine, Université de Genève",Switzerland,0
"Fakulta Lesnická a Drevarská, Česká Zemědělská Univerzita v Praze",Czech Republic,0
"Fakultet Medicinskih Nauka, Univerziteta U Kragujevcu",Serbia,0
Fakultní Nemocnice Plzen,Czech Republic,0
"Fakultu Agrobiologie, Potravinových a Prírodních Zdrojů, Česká Zemědělská Univerzita v Praze",Czech Republic,0
Falk Foundation,United States,1
Familjen Erling-Perssons Stiftelse,Sweden,1
Family Care Foundation,United States,1
Family Process Institute,United States,1
Fanconi Anemia Research Fund,United States,1
"Far East Branch, Russian Academy of Sciences",Russia,0
Far North Queensland Hospital Foundation,Australia,2
Faraday Institution,United Kingdom,0
Farm Service Agency,United States,0
Farmer Family Foundation,United States,1
Fast Grants,United States,1
Faucett Catalyst Fund,United States,1
Fay Fuller Foundation,United States,1
Federaal Agentschap Voor de Veiligheid Van de Voedselketen,Belgium,0
Federación Española de Enfermedades Raras,Spain,0
Federal Agency for Science and Innovation,Russia,0
Federal Agency for Scientific Organizations,Russia,0
Federal Agency of Atomic Energy of the Russian Federation,Russia,0
Federal Aviation Administration,United States,0
Federal Bureau of Investigation,United States,0
Federal Emergency Management Agency,United States,0
Federal Highway Administration,United States,0
Federal Mediation and Conciliation Service,United States,0
Federal Office of Topography swisstopo,Switzerland,0
Federal Railroad Administration,United States,0
Federalno Ministarstvo Obrazovanja i Nauke,Bosnia and Herzegovina,0
Federation University Australia,Australia,0
Federation for the Humanities and Social Sciences,Canada,0
Federation of European Biochemical Societies,Germany,2
Federation of European Microbiological Societies,Netherlands,2
Federico and Elvia Faggin Foundation,United States,1
"Feinberg Graduate School, Weizmann Institute of Science",Israel,0
Feinberg School of Medicine,United States,0
Feinstein Institutes for Medical Research,United States,0
Feist-Weiller Cancer Center,United States,0
Fellowships Fund Incorporated,South Africa,1
Fellowships for Young International Scientists,China,0
Ferdowsi University of Mashhad,Iran,0
Fermilab,United States,0
Ferring,Switzerland,1
Ferring Pharmaceuticals,Switzerland,1
Fetal Health Foundation,United States,1
Fetal Medicine Foundation,United Kingdom,1
Fetzer Institute,United States,1
FibroGen,United States,1
Fidelity Biosciences,United States,1
Fidelity Foundation,United States,1
Fidia Farmaceutici,Italy,1
Fiducie de Recherche sur la Foret des Cantons-de-l'Est,Canada,0
Field Museum,United States,0
Field Neurosciences Institute,United States,1
Fields Institute for Research in Mathematical Sciences,Canada,0
Fields Pond Foundation,United States,1
Fifth Framework Programme,European Union,2
Fight for Sight,United Kingdom,1
Fight for Sight UK,United Kingdom,1
FightMND,Australia,1
"Filozofická Fakulta, Univerzita Karlova v Praze",Czech Republic,0
Financiadora de Estudos e Projetos,Brazil,0
Financial Markets Foundation for Children,Australia,1
Finnish Cancer Institute,Finland,0
Finska Läkaresällskapet,Finland,0
